iter	Logloss
0	0.6703838393
1	0.6525114409
2	0.6203863558
3	0.5951306947
4	0.5849604247
5	0.5760246742
6	0.5584808098
7	0.5526816889
8	0.5457747114
9	0.5343203704
10	0.5313140573
11	0.5284777186
12	0.5249264904
13	0.5216357444
14	0.5187585289
15	0.5125037407
16	0.5100624262
17	0.5081055268
18	0.5065955662
19	0.5045992958
20	0.5029349902
21	0.4980496013
22	0.4968165686
23	0.4949162312
24	0.493732964
25	0.4909229216
26	0.4904289378
27	0.4893718073
28	0.4886937895
29	0.488199237
30	0.4875273628
31	0.4867263944
32	0.4861494561
33	0.4852108147
34	0.4847152927
35	0.4842713054
36	0.4837189018
37	0.4834225571
38	0.4818174076
39	0.4814664346
40	0.4807889641
41	0.4802568592
42	0.479672001
43	0.4794962861
44	0.4792457012
45	0.4788745756
46	0.4785240907
47	0.4780828038
48	0.4775934213
49	0.4773609336
50	0.4770362437
51	0.4768646514
52	0.4763501277
53	0.4761114345
54	0.4758710427
55	0.4755324742
56	0.4753092763
57	0.4751189387
58	0.4749233795
59	0.4745312039
60	0.4740748837
61	0.4738323097
62	0.4736220195
63	0.4734883433
64	0.4732605214
65	0.4730928156
66	0.4729388889
67	0.4727043911
68	0.4724988982
69	0.4723204464
70	0.4720857523
71	0.4718384944
72	0.4715567547
73	0.4714263298
74	0.4712543182
75	0.4701404884
76	0.4699095627
77	0.4689078937
78	0.4687400864
79	0.4685619392
80	0.4681520023
81	0.467949602
82	0.4678281718
83	0.4671246056
84	0.4667376481
85	0.4665316044
86	0.4662552871
87	0.4660280014
88	0.4656674203
89	0.4654496953
90	0.4652735032
91	0.4651618708
92	0.4648984373
93	0.4647035896
94	0.4645271708
95	0.4643665741
96	0.4641684465
97	0.4640711017
98	0.4639004659
99	0.463746791
100	0.4634553821
101	0.4633019395
102	0.4631762229
103	0.4628916946
104	0.4626560894
105	0.4624875797
106	0.4621731817
107	0.4620123648
108	0.4618661756
109	0.4617650498
110	0.4615294249
111	0.4613821656
112	0.4612567951
113	0.4610548003
114	0.4607635466
115	0.4606291339
116	0.460437084
117	0.4603038272
118	0.4600856151
119	0.4599779599
120	0.4597804045
121	0.4596279842
122	0.459444614
123	0.4592730609
124	0.4591912484
125	0.4590741315
126	0.4589190078
127	0.4581815628
128	0.4580061071
129	0.4577782952
130	0.4575719382
131	0.4574678839
132	0.4573829244
133	0.457280071
134	0.4570684489
135	0.4566471025
136	0.4564599114
137	0.456285683
138	0.4561954339
139	0.4560999271
140	0.4559872425
141	0.4557655691
142	0.4555952185
143	0.4553636958
144	0.4551721771
145	0.4550275236
146	0.4548647565
147	0.4547243579
148	0.4544739275
149	0.4541784394
150	0.4539903044
151	0.4536958268
152	0.4535564558
153	0.4534089004
154	0.4532180179
155	0.4531250202
156	0.4529247077
157	0.4527172617
158	0.4525740964
159	0.4524191512
160	0.4521989311
161	0.452079474
162	0.4519291413
163	0.4517956511
164	0.4516420391
165	0.4515125768
166	0.451377317
167	0.4511383736
168	0.4508901725
169	0.4507395602
170	0.4505868046
171	0.4504049829
172	0.4501707846
173	0.4500503325
174	0.4498970313
175	0.4496428589
176	0.4494209947
177	0.449252351
178	0.4489929249
179	0.4488477869
180	0.4486972137
181	0.4485441964
182	0.4483431872
183	0.4481471866
184	0.4479988564
185	0.4478525118
186	0.447772557
187	0.4475179683
188	0.4473995668
189	0.4471982882
190	0.4469917362
191	0.4468540538
192	0.4466341202
193	0.44635496
194	0.4461893643
195	0.4460284749
196	0.4458890839
197	0.4457010364
198	0.4455042284
199	0.4453324162
200	0.4451178397
201	0.4449629166
