iter	Logloss
202	0.4448511079
203	0.4446903167
204	0.4444497155
205	0.4442357374
206	0.4440571328
207	0.4438389317
208	0.4435848326
209	0.4433636975
210	0.4432170615
211	0.4430614163
212	0.4428896167
213	0.4427679919
214	0.4425764256
215	0.4424120507
216	0.4423213831
217	0.4420135183
218	0.4418994987
219	0.4416808279
220	0.4414673743
221	0.4413420408
222	0.4412221596
223	0.4410684244
224	0.4408583207
225	0.4407189311
226	0.4405231076
227	0.4403046093
228	0.4400868969
229	0.4399452168
230	0.4397892205
231	0.4396628369
232	0.4395173442
233	0.4393438094
234	0.4391916822
235	0.4389493639
236	0.4387914804
237	0.4385958455
238	0.4383919226
239	0.4382345048
240	0.4380665693
241	0.4379106508
242	0.4377564449
243	0.4376280295
244	0.4374680167
245	0.4372458007
246	0.4370714824
247	0.4368455636
248	0.43662743
249	0.4364876078
250	0.4362829529
251	0.4361494843
252	0.435987037
253	0.4357712373
254	0.4356129767
255	0.4354139502
256	0.4352517617
257	0.4351392908
258	0.4350008483
259	0.4349056263
260	0.434800163
261	0.4346910079
262	0.4345895136
263	0.4344049242
264	0.4342733221
265	0.4341425578
266	0.4339747577
267	0.4337964119
268	0.433685747
269	0.4335336706
270	0.4333791974
271	0.4332321569
272	0.4331057854
273	0.4330014484
274	0.4328765232
275	0.4327829792
276	0.4326382003
277	0.4324221374
278	0.4322774062
279	0.4321481847
280	0.4320411039
281	0.4319065912
282	0.4317617374
283	0.4316610312
284	0.4310928886
285	0.4309858244
286	0.4308671044
287	0.4307173231
288	0.4305751884
289	0.4304363369
290	0.4302949836
291	0.4302243408
292	0.4301003168
293	0.4299545419
294	0.4297893747
295	0.4296646973
296	0.429528788
297	0.4294157522
298	0.4292627434
299	0.4291378898
300	0.4289949498
301	0.4288829709
302	0.4287173495
303	0.4285611527
304	0.4284973755
305	0.4283851878
306	0.4282432514
307	0.4280982322
308	0.4279880824
309	0.427896011
310	0.4277870428
311	0.4276763368
312	0.4275258427
313	0.4273519708
314	0.4272224122
315	0.427088758
316	0.4269727296
317	0.4267966637
318	0.4266487591
319	0.4264880507
320	0.4263651934
321	0.4262233957
322	0.4260492544
323	0.4259406391
324	0.425818016
325	0.4256464825
326	0.4255186704
327	0.4254081017
328	0.4253161715
329	0.4252037509
330	0.4250937425
331	0.4250143834
332	0.424862444
333	0.4247237235
334	0.4245771318
335	0.4244416346
336	0.424342885
337	0.4242588404
338	0.4241662276
339	0.4240249823
340	0.4239402585
341	0.4238433914
342	0.4235744673
343	0.4234064397
344	0.4232063098
345	0.4230888982
346	0.4230049909
347	0.4228700199
348	0.4227592609
349	0.4226418322
350	0.4225523644
351	0.4224627391
352	0.4222721909
353	0.4221280224
354	0.4219719619
355	0.4217929509
356	0.421704925
357	0.4215553161
358	0.4214327613
359	0.4213316756
360	0.4212337165
361	0.4211168599
362	0.4209884096
363	0.4208229824
364	0.4207140839
365	0.4206039151
366	0.4205078832
367	0.420431865
368	0.4203340929
369	0.4202314751
370	0.4200200138
371	0.4198750272
372	0.4197048919
373	0.4196158273
374	0.4195183533
375	0.4194101534
376	0.4193374175
377	0.4192262762
378	0.4190508467
379	0.4188994946
380	0.4187720688
381	0.418646733
382	0.4185730291
383	0.4184747577
384	0.4183721135
385	0.4182279313
386	0.4181305392
387	0.4179918375
388	0.4179126847
389	0.4178152974
390	0.4176662572
391	0.4175197863
392	0.4174616853
393	0.4173359412
394	0.4171311033
395	0.4170292318
396	0.4169395659
397	0.4167602068
398	0.4166166193
399	0.4164532258
